event,flag,grp,dev_only,eval_only,both,z_eval_excess
pf_limpbehind,dirtop_G16,tight,0,0,0,0.0
pf_limpbehind,dirtop_G25,sym,0,0,0,0.0
pf_limpbehind,dirtop_G25,tight,0,0,0,0.0
pf_limpbehind,symtop_G3,sym,23,8,0,-2.69
pf_limpbehind,symtop_G3,tight,5,2,0,-1.13
pf_limpbehind,symtop_G6,sym,2,1,0,-0.58
pf_limpbehind,symtop_G6,tight,0,0,0,0.0
pf_limpbehind,symtop_G10,sym,0,0,0,0.0
pf_limpbehind,symtop_G10,tight,0,0,0,0.0
pf_limpbehind,gmax_16,sym,1,2,0,0.58
pf_limpbehind,gmax_16,tight,0,0,0,0.0
pf_limpbehind,gmax_25,sym,0,0,0,0.0
pf_limpbehind,gmax_25,tight,0,0,0,0.0
pf_limpbehind,gmax_40,sym,0,0,0,0.0
pf_limpbehind,gmax_40,tight,0,0,0,0.0
pf_limpbehind,deficit_10,sym,0,3,0,1.73
pf_limpbehind,deficit_10,tight,0,0,0,0.0
pf_limpbehind,deficit_16,sym,0,0,0,0.0
pf_limpbehind,deficit_16,tight,0,0,0,0.0
pf_limpbehind,deficit_25,sym,0,0,0,0.0
pf_limpbehind,deficit_25,tight,0,0,0,0.0
pf_iso_overY,dirtop_G6,sym,33,24,0,-1.19
pf_iso_overY,dirtop_G6,tight,9,1,0,-2.53
pf_iso_overY,dirtop_G10,sym,0,3,0,1.73
pf_iso_overY,dirtop_G10,tight,0,1,0,1.0
pf_iso_overY,dirtop_G16,sym,0,0,0,0.0
pf_iso_overY,dirtop_G16,tight,0,0,0,0.0
pf_iso_overY,dirtop_G25,sym,0,0,0,0.0
pf_iso_overY,dirtop_G25,tight,0,0,0,0.0
pf_iso_overY,symtop_G3,sym,3,4,0,0.38
pf_iso_overY,symtop_G3,tight,1,1,0,0.0
pf_iso_overY,symtop_G6,sym,0,0,0,0.0
pf_iso_overY,symtop_G6,tight,0,0,0,0.0
pf_iso_overY,symtop_G10,sym,0,0,0,0.0
pf_iso_overY,symtop_G10,tight,0,0,0,0.0
pf_iso_overY,gmax_16,sym,0,0,0,0.0
pf_iso_overY,gmax_16,tight,0,0,0,0.0
pf_iso_overY,gmax_25,sym,0,0,0,0.0
pf_iso_overY,gmax_25,tight,0,0,0,0.0
pf_iso_overY,gmax_40,sym,0,0,0,0.0
pf_iso_overY,gmax_40,tight,0,0,0,0.0
pf_iso_overY,deficit_10,sym,6,5,0,-0.3
pf_iso_overY,deficit_10,tight,1,1,0,0.0
pf_iso_overY,deficit_16,sym,0,0,0,0.0
pf_iso_overY,deficit_16,tight,0,0,0,0.0
pf_iso_overY,deficit_25,sym,0,0,0,0.0
pf_iso_overY,deficit_25,tight,0,0,0,0.0
pf_overcall_3rd_Yin,dirtop_G6,sym,162,139,0,-1.33
pf_overcall_3rd_Yin,dirtop_G6,tight,22,24,0,0.29
pf_overcall_3rd_Yin,dirtop_G10,sym,10,7,0,-0.73
pf_overcall_3rd_Yin,dirtop_G10,tight,1,1,0,0.0
pf_overcall_3rd_Yin,dirtop_G16,sym,0,0,0,0.0
pf_overcall_3rd_Yin,dirtop_G16,tight,0,0,0,0.0
pf_overcall_3rd_Yin,dirtop_G25,sym,0,0,0,0.0
pf_overcall_3rd_Yin,dirtop_G25,tight,0,0,0,0.0
pf_overcall_3rd_Yin,symtop_G3,sym,26,24,0,-0.28
pf_overcall_3rd_Yin,symtop_G3,tight,5,4,0,-0.33
pf_overcall_3rd_Yin,symtop_G6,sym,0,1,0,1.0
pf_overcall_3rd_Yin,symtop_G6,tight,0,0,0,0.0
pf_overcall_3rd_Yin,symtop_G10,sym,0,0,0,0.0
pf_overcall_3rd_Yin,symtop_G10,tight,0,0,0,0.0
pf_overcall_3rd_Yin,gmax_16,sym,0,0,0,0.0
pf_overcall_3rd_Yin,gmax_16,tight,0,0,0,0.0
pf_overcall_3rd_Yin,gmax_25,sym,0,0,0,0.0
pf_overcall_3rd_Yin,gmax_25,tight,0,0,0,0.0
pf_overcall_3rd_Yin,gmax_40,sym,0,0,0,0.0
pf_overcall_3rd_Yin,gmax_40,tight,0,0,0,0.0
pf_overcall_3rd_Yin,deficit_10,sym,3,5,0,0.71
